category_1,category_2,question_label,question_full,formula
응답자 정보,패널 기본정보,응답코드,,
응답자 정보,패널 기본정보,패널코드,,
응답자 정보,패널 기본정보,성별,,
응답자 정보,패널 기본정보,나이,,
응답자 정보,패널 기본정보,세대,,
응답자 정보,패널 기본정보,거주 지역(상세),,
응답자 정보,패널 기본정보,거주 지역,,
응답자 정보,소속 기업 특성,사업장 인원,현재 근무하고 있는 사업장(오피스)의 인원은 몇 명인가요?, 
응답자 정보,소속 기업 특성,사업장 지역,귀하께서 근무하시는 기업의 사업장 소재지는 어디인가요?, 
응답자 정보,소속 기업 특성,업종,귀하께서 재직 중인 기업은 다음 중 어느 업종에 해당하나요?, 
응답자 정보,소속 기업 특성,기업 유형,귀하께서 재직 중인 기업은 다음 중 어디에 해당하나요?, 
응답자 정보,응답자 개인 특성,직책,귀하의 기업 내 직책은 무엇인가요?, 
응답자 정보,응답자 개인 특성,총 경력,귀하의 직장 생활 총 경력은 어떻게 되시나요?, 
응답자 정보,응답자 개인 특성,현 직장 재직 기간,현재 직장에서의 재직 기간은 어떻게 되시나요?, 
응답자 정보,응답자 개인 특성,직무,현재 귀하께서 담당하고 있는 직무는 무엇인가요?, 
일하는 경험,일하는 방식 일반,사무실 출근일수,귀하께서 일주일에 평균 며칠 사무실에서 근무하시나요?, 
일하는 경험,일하는 방식 일반,업무 특성 (독립/협업),귀하의 업무 특성은 어디에 가까운가요? 독립 : 내 일은 혼자 하는 업무가 많은 편이다. 협업 : 내 일은 다른 구성원들과의 소통과 협업이 많은 편이다., 
일하는 경험,일하는 방식 일반,업무 특성 (정형/창의),귀하의 업무 특성은 어디에 가까운가요? 정형 : 내 일은 상호 합의된 프로세스와 시스템 안에서 진행하는 것이 중요하다. 창의 : 내 일은 새로운 시도를 통한 창의적인 결과물 도출이 중요하다., 
일하는 경험,일하는 방식 일반,리더 유형 (관리/위임) (본인),귀하께서는 다음 중 어떤 유형의 리더에 가까운가요? 관리형 : 실무진의 업무를 꼼꼼히 관리하는 리더 위임형 : 실무진에게 의사결정 과정을 위임하는 리더, 
일하는 경험,일하는 방식 일반,리더 유형 (관리/위임) (직속 리더),귀하의 직속 리더는 다음 중 어떤 유형의 리더에 가까운가요? 관리형 : 실무진의 업무를 꼼꼼히 관리하는 리더 위임형 : 실무진에게 의사결정 과정을 위임하는 리더, 
일하는 경험,일하는 방식 일반,업무 시간의 자율성,귀하의 회사에서는 구성원들이 일을 언제 시작하고 끝낼 지 직접 조절할 수 있나요?, 
일하는 경험,일하는 방식 일반,업무 장소의 자율성,귀하의 회사에서는 구성원들이 일할 장소와 환경을 직접 선택하고 조절할 수 있나요?, 
일하는 경험,일하는 방식 일반,업무 프로세스의 자율성,귀하의 회사에서는 구성원들이 최적의 업무 프로세스/방식을 직접 탐색하고 실무에 적용할 수 있나요?, 
일하는 경험,일하는 방식 일반,협업 대상의 자율성,귀하의 회사에서는 구성원들이 누구와 함께 일할 것인지 직접 제안하거나 조율할 수 있나요?, 
일하는 경험,일하는 방식 일반,목표 설정의 자율성,귀하의 회사에서는 구성원들이 수행할 업무와 달성할 목표를 직접 설정할 수 있나요?, 
일하는 경험,오피스에서 하는 행동,혼자서 주어진 업무 빠르게 처리하기,지난 한 달 동안 오피스에서 ‘혼자 주어진 업무를 빠르게 처리하는 일’ 을 얼마나 자주 하셨나요?, 
